Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Scandal Le Parfum	Jean Paul Gaultier	2022	NA	7.9	286	Sweet, Gourmand, Creamy, Floral, Powdery	NA	NA	NA	Fabrice Pellegrin, Daphné Bugey, Ane Ayo
Scandal Parfum Cologne	Roja Parfums	2019	NA	7.5	56	Spicy, Fresh, Fougère, Green, Woody	NA	NA	NA	NA
Scandal pour Homme	Jean Paul Gaultier	2021	NA	6.7	794	Sweet, Synthetic, Gourmand, Spicy, Creamy	NA	NA	NA	Quentin Bisch, Christophe Raynaud, Nathalie Gracia-Cetto
Scandal pour Homme Le Parfum	Jean Paul Gaultier	2022	NA	7.6	329	Sweet, Synthetic, Woody, Gourmand, Spicy	Geranium	Tonka bean	Sandalwood	Quentin Bisch, Nathalie Gracia-Cetto, Christophe Raynaud
Scandal pour Homme Roja Parfums 2011 Eau de Parfum	Roja Parfums	2011	Eau de Parfum	7.9	212	Spicy, Fougère, Woody, Fresh, Citrus	Petitgrain, Tarragon, Basil, Bergamot, Lavender, Lemon, Spearmint	Grasse jasmine, Lily of the valley, May rose, Violet	Mossy notes, Musk, Cardamom, Cashmeran, Cedarwood, Clove, Labdanum, Patchouli, Sandalwood, Tonka bean, Vetiver, Ambergris, Nutmeg, Rhubarb	Roja Dove
Scandal pour Homme Roja Parfums 2011 Parfum	Roja Parfums	2011	Parfum	7.9	163	Spicy, Fougère, Green, Fresh, Citrus	Petitgrain, Tarragon, Basil, Bergamot, Lavender, Lemon, Spearmint	Grasse jasmine, Lily of the valley, May rose, Violet	Mossy notes, Musk, Cardamom, Cashmeran, Cedarwood, Clove, Labdanum, Patchouli, Sandalwood, Tonka bean, Vetiver, Ambergris, Nutmeg, Rhubarb	Roja Dove
Scandal Roja Parfums 2007 Eau de Parfum	Roja Parfums	2007	Eau de Parfum	7.4	74	Floral, Spicy, Sweet, Animal, Oriental	Bergamot	Gardenia, Lily of the valley, Tuberose, Freesia, Grasse jasmine, Orange blossom, May rose	Musk, Sandalwood, Iris	Roja Dove
Scandal Roja Parfums 2007 Parfum	Roja Parfums	2007	Parfum	7.6	67	Floral, Sweet, Powdery, Green, Spicy	Bergamot	Gardenia, Lily of the valley, Tuberose, Freesia, Grasse jasmine, Orange blossom, May rose	Musk, Sandalwood, Iris	Roja Dove
Scarlet Poppy	Jo Malone	2021	NA	8	301	Creamy, Floral, Sweet, Powdery, Spicy	Ambrette	Heliotrope, Turkish poppy, Iris	Tonka bean, Barley, Fig	Mathilde Bijaoui
Scarlet Rouge	Moresque	2022	NA	7.7	86	Sweet, Creamy, Powdery, Floral, Fruity	Dried fruits, Almond, Bergamot, Coconut milk	Cherry blossom, Jasmine, Taif rose, White blossoms	Amber, Musk, Precious woods, Spices, Tonka bean, Vanilla	Douglas Morel
Scarlett	Cacharel	2009	NA	5.8	135	Floral, Fruity, Sweet, Fresh, Powdery	Pear, Citrus fruits, Tea	Honeysuckle, Orange blossom, Jasmine	Musk, Sandalwood	Honorine Blanc, Olivier Cresp, Alberto Morillas
Scent 79 Man	Jil Sander	2012	NA	7.8	151	Spicy, Woody, Leathery, Smoky, Green	Clary sage, Mugwort, Bergamot	Spices, Frankincense, Violet leaf	Leather, Woody notes	NA
Scent Bar 103	Scent Bar	2011	NA	7.3	60	Sweet, Gourmand, Powdery, Floral, Synthetic	Cotton candy, Orange	Almond, Lilac	Hazelnut, Tonka bean, Vanilla, White musk, Amber	NA
Scent	Costume National	2002	NA	7	72	Woody, Spicy, Floral, Fresh, Sweet	Green tea, Bergamot, Cardamom	Hibiscus, Jasmine sambac, Rose	Sandalwood, Ambergris, Leather, Patchouli, Vanilla	Laurent Bruyère
Scent Intense	Costume National	2002	NA	7.4	126	Woody, Spicy, Floral, Sweet, Resinous	Green tea, Bergamot, Cardamom	Hibiscus, Jasmine sambac, Rose	Sandalwood, Ambergris, Leather, Patchouli, Vanilla	Laurent Bruyère
Scent of Gold	Trussardi	2018	NA	8	60	Spicy, Floral, Sweet, Woody, Creamy	Madagascan cinnamon, Prunol, Bergamot	Tobacco, Violet, Jasmine	Labdanum, Patchouli, Vanilla	NA
Scent Stories Vol.1/Ch.01 - Dune Road	MiN New York	2014	NA	7.3	72	Green, Aquatic, Fresh, Spicy, Woody	Ozone, Absinth, Cardamom	Marine notes, Algae, Salt, Seagrass, Driftwood	Vetiver, Cedarwood, Musk	NA
Scent Stories Vol.1/Ch.04 - Shaman	MiN New York	2014	NA	7.4	70	Spicy, Smoky, Resinous, Floral, Green	Violet leaf, Mandarin orange, Cardamom	Frankincense, Labdanum, Nutmeg, Rose absolute	Honey, Patchouli, Ambergris, Styrax	NA
Scent Stories Vol.1/Ch.05 - Momento	MiN New York	2014	NA	7.8	90	Woody, Spicy, Citrus, Floral, Powdery	Bergamot, Absinth, Aldehydes, Lemon, Tarragon	Lavender, Rose, Vervain, Jasmine	Gaiac wood, Opoponax, Patchouli	NA
Scent Stories Vol.1/Ch.06 - Barrel	MiN New York	2014	NA	7.4	61	Woody, Floral, Leathery, Spicy, Smoky	Absinth, Coriander, Pink pepper	Myrrh, Orange blossom, Rum	Oaken barrel, Leather, Vanilla, Patchouli, Vetiver	NA
Scent Stories Vol.1/Ch.07 - Magic Circus	MiN New York	2014	NA	7.7	68	Sweet, Gourmand, Fruity, Spicy, Woody	Pineapple, Cotton candy, Pink pepper, Bergamot	Cistus, Nuts, Geranium, Labdanum	Caramel, Patchouli, Wood splint	NA
Scent Stories Vol.1/Ch.08 - Old School Bench	MiN New York	2014	NA	7.2	56	Woody, Smoky, Spicy, Leathery, Resinous	Bergamot, Angelica root, Lemon	Geranium, Cocoa, Rum	Patchouli, Vetiver, Cedarwood, Vanilla	NA
Scent Stories Vol.1/Ch.09 - Dahab MiN New York 2014 Eau de Parfum	MiN New York	2014	Eau de Parfum	8.1	115	Smoky, Woody, Spicy, Resinous, Oriental	Galbanum, Cinnamon, Lime, Nutmeg, Saffron	Frankincense, Cypress, Benzoin, Geranium	Oud, Amber, Cedarwood, Musk	NA
Scent Stories Vol.1/Ch.10 - Onsen	MiN New York	2014	NA	7.1	55	Spicy, Woody, Green, Aquatic, Synthetic	Fennel, Absinth, Bergamot, Tarragon, Thyme, Rosemary	Cypress, Marine notes, Pine needle	Vetiver, Ambergris, Oakmoss	NA
Scent Stories Vol.1/Ch.11 - Moon Dust MiN New York 2014 Eau de Parfum	MiN New York	2014	Eau de Parfum	7.7	89	Smoky, Spicy, Earthy, Woody, Resinous	Carrot seed, Mineral notes, Coriander	Flintstone, Tobacco, Ozone	Soil, Black musk, Benzoin	NA
Scent Stories Vol.2/Ch.01 - Ad Lumen	MiN New York	2015	NA	7	72	Floral, Fresh, Powdery, Creamy, Citrus	Citrus notes, Italian bergamot	Egyptian jasmine, Rose	Musk	NA
Scherrer 2 Jean-Louis Scherrer 1986 Eau de Toilette	Jean-Louis Scherrer	1986	Eau de Toilette	7.7	295	Floral, Spicy, Oriental, Chypre, Woody	Tuberose, Portuguese mandarin, Rose, Jasmine, Angelica, Violet leaf	Myrrh, Cinnamon, Mysore sandalwood, Cedar, Bourbon vetiver	Civet, Musk, Oakmoss, Opoponax, Benzoin, Patchouli, Castoreum	NA
Scherzo Miller Harris 2018 Eau de Parfum	Miller Harris	2018	Eau de Parfum	7.8	179	Floral, Sweet, Oriental, Spicy, Woody	Davana, Tangerine	Black rose, Peony, Pittosporum, Frankincense, Yellow narcissus	Ethyl maltol, Oud, Patchouli, Vanilla	Mathieu Nardin, Robertet
Schloß Nelke	4711	2009	NA	7.7	94	Spicy, Woody, Smoky, Resinous, Oriental	Cinnamon leaf, Bergamot, Nutmeg	Myrrh, Black tea, Elemi resin, Decay	Tobacco, Honey, Oud, Vetiver	Philippe Bousseton, Takasago / 高砂
Schlossveilchen	4711	2015	NA	7.5	52	Citrus, Fresh, Green, Floral, Woody	Litsea cubeba, Grapefruit, Vervain, Sewage	Jasmine, Ylang-ylang, Iris, Glimzorith	Amber, Cedarwood, Patchouli, Chemical	Céline Ellena
Sci Fi	Ellis Brooklyn	2017	NA	7.6	58	Sweet, Creamy, Citrus, Floral, Fresh	Bitter orange, Bergamot	Green tea, Pink freesia	Vanilla, Cashmere wood	NA
Scilly Neroli	Atkinsons	2016	NA	7.6	133	Citrus, Fresh, Floral, Fruity, Green	Lemon, Petitgrain, Spindrift	Neroli, Orange blossom absolute	Ambergris, Patchouli	Violaine Collas
Scirocco	Moresque	2023	NA	8.4	96	Spicy, Leathery, Sweet, Woody, Fruity	Apple, Orange, Elemi resin, Saffron, Cardamom	Damask rose, Jasmine, Nutmeg, Cinnamon	Musk, Tonka bean, Leather, Amber, Cedarwood, Patchouli, Vanilla, Vetiver	NA
Scotch Lavander	Oriza L. Legrand	2020	NA	7.5	78	Spicy, Floral, Green, Resinous, Fresh	True lavender, Thyme, Bergamot	Scottish lavender, Geranium, Vetiver	Amber, Benzoin, Tonka bean	NA
Sculpture Homme Nikos 1995 Eau de Toilette	Nikos	1995	Eau de Toilette	7.6	1537	Fresh, Sweet, Citrus, Floral, Synthetic	Orange blossom, Bergamot, Coriander, Lemon, Mandarin orange	Geranium, Lily of the valley, Jasmine, Rose	Tonka bean, Benzoin, Amber, Cedar	Michel Almairac
Sculpture Nikos 1994 Eau de Parfum	Nikos	1994	Eau de Parfum	7.4	74	Floral, Sweet, Fresh, Fruity, Powdery	Freesia, Green notes, Peach, Bergamot, Lemon, Tarragon	Iris, Lily of the valley, Cyclamen, Jasmine, Orchid, Ylang-ylang	Musk, Sandalwood, Benzoin, Cedar, Tonka bean, Vanilla	Jean-François Latty
Sculpture Parfum	Nikos	2022	NA	8.5	213	Fresh, Floral, Sweet, Creamy, Citrus	Lemon, Orange blossom, Bergamot, Coriander, Mandarin orange	Lily of the valley, Geranium, Jasmine, Lavender	Benzoin, Tonka bean, Amber, Cedar	Aliénor Massenet
Scusami	Filippo Sorcinelli	2020	NA	7.5	90	Floral, Sweet, Fruity, Powdery, Creamy	Mirabelle plum, Heliotrope, Bergamot, Grapefruit, Lemon	Blackcurrant, Sugar powder, Ylang-ylang, Freesia, Lily of the valley, Rose	Musk, Sandalwood, Amber, Ambrette, Cedarwood, Patchouli	NA
Sea Salt Caramel	Bohoboco	2016	NA	6.6	83	Sweet, Synthetic, Aquatic, Floral, Fresh	Lemon, Sea salt, Pink pepper	Jasmine, Algae, Bay leaf	Brown sugar, Salted caramel, Cedarwood	NA
Seahorse	Zoologist	2021	NA	7.2	105	Aquatic, Fresh, Spicy, Floral, Sweet	Fennel, Ambrette seed absolute, Guatemala cardamom	Clary sage, Tuberose, Neroli	Algae absolute, Ambergris, Vetiver	Julien Rasquinet
Search	Amouage	2023	NA	7.7	224	Citrus, Smoky, Fresh, Woody, Spicy	Lemon, Lime, Mandarin orange	Omani green frankincense, Black pepper, Elemi resin	Cade juniper, Gaiac wood, Vetiver	Alexis Grugeon
Seaside Man Toni Gard 2015 Eau de Toilette	Toni Gard	2015	Eau de Toilette	6.3	60	Fresh, Aquatic, Synthetic, Citrus, Fruity	Bergamot, Lemon, Red pepper, Grapefruit, Mandarin orange	Lavender, Sage, Tea	Sandalwood	NA
Seaside Woman Toni Gard 2015 Eau de Parfum	Toni Gard	2015	Eau de Parfum	6.6	96	Fresh, Citrus, Aquatic, Floral, Fruity	Lemon, Bergamot, Juniper berry, Blackcurrant, Melon	Iris, Magnolia, Rose, Jasmine, Lily of the valley	Vetiver, Musk, Soft woods, Amber	NA
Secret Gardenia	Miller Harris	2019	NA	7.5	60	Floral, Creamy, Fresh, Sweet, Green	Nashi pear, Aqual™, Bergamot, Yuzu	Egyptian jasmine absolute, Ylang-ylang, Gardenia, Violet	Sandalwood, Cedarwood, Driftwood, Musk	Mathieu Nardin, Mane
Secret Obsession	Calvin Klein	2008	NA	6.6	214	Oriental, Spicy, Floral, Woody, Sweet	Plum, Mace, Rose	Jasmine, Tuberose, Orange blossom	Sandalwood, Amber, Cashmere wood, Vanilla	Calice Becker, Ann Gottlieb Product developer
Secret Potion	Christina Aguilera	2011	NA	6	70	Floral, Sweet, Fruity, Powdery, Fresh	Lemon, Mandarin orange, Passion fruit	Jasmine, Lotus, Orange blossom	Tonka bean, Ebony, Musk	NA
Secret Rendezvous	Birkholz	NA	NA	7.7	85	Floral, Sweet, Powdery, Oriental, Creamy	Orange blossom, Rose, Jasmine	Musk, Heliotrope, Cedarwood	Musk, Patchouli, Vetiver	NA
Secret Smelling 2016 - Bruno Jovanovic	IFF International Flavors & Fragrances	2016	NA	8.1	59	Floral, Fruity, Green, Fresh, Woody	Fig, Bergamot, Blackcurrant	Geranium, Rose, Jasmine absolute	Vetiver, Cashmeran, Musk	Annick Ménardo
Secret Wish	Anna Sui	2005	NA	6.4	77	Fruity, Fresh, Floral, Citrus, Sweet	Lemon, Melon, Tagetes	Pineapple, Blackcurrant	White cedarwood, Musk, Amber	Christian Provenzano
Secrets de Rose	Les Parfums de Rosine	2009	NA	7.4	97	Floral, Spicy, Sweet, Woody, Powdery	Rose, Plum, Bitter orange, Saffron, Liquorice	Cumin, Jasmine, Magnolia, Rose absolute, Ylang-ylang	Musk, Sandalwood, Amber, Labdanum	François Robert
Secrets d'Essences - Accord Chic	Yves Rocher	2016	NA	7.4	133	Spicy, Resinous, Floral, Powdery, Woody	NA	NA	NA	Olivier Cresp, Marie Salamagne
Secrets d'Essences - Iris Noir Yves Rocher 2007 Eau de Parfum	Yves Rocher	2007	Eau de Parfum	7.2	149	Floral, Powdery, Woody, Spicy, Sweet	Coriander, Bergamot	Patchouli, Tonka bean	Orris butter, Ambrette seed	Olivier Pescheux, Nathalie Gracia-Cetto
Secrets d'Essences - Neroli	Yves Rocher	2013	NA	7.3	228	Fresh, Floral, Citrus, Powdery, Sweet	Bitter orange, Bergamot, Petitgrain	Neroli, Orange blossom absolute	Musk	Véronique Nyberg
Secrets d'Essences - Rose Absolue Yves Rocher 2006 Eau de Parfum	Yves Rocher	2006	Eau de Parfum	6.9	147	Floral, Sweet, Spicy, Powdery, Fruity	Cinnamon	Rose	Tonka bean, Patchouli	Christine Nagel
Secrets d'Essences - Rose Oud	Yves Rocher	2016	NA	7.6	101	Floral, Spicy, Woody, Oriental, Resinous	NA	NA	NA	Annick Ménardo
Secrets d'Essences - Tendre Jasmin	Yves Rocher	2008	NA	6.7	202	Floral, Fresh, Sweet, Powdery, Green	Jasminum grandiflorum, Lemon, Orange, Mandarin orange	Jasminum grandiflorum absolute, Orange blossom absolute	Jasmine sambac absolute, Mimosa absolute	Jacques Cavallier-Belletrud, Firmenich
Secrets d'Essences - Vanille Noire	Yves Rocher	2010	NA	7.2	447	Sweet, Gourmand, Woody, Oriental, Spicy	NA	NA	NA	Jacques Cavallier-Belletrud
Secrets d'Essences - Voile d'Ambre Yves Rocher 2005 Eau de Parfum	Yves Rocher	2005	Eau de Parfum	7.2	343	Oriental, Sweet, Spicy, Woody, Powdery	Italian green mandarin orange, Cardamom	Frankincense, Opoponax, Myrrh	Bourbon vanilla, Australian sandalwood, Patchouli	Olivier Pescheux
Secrets du Paradis Rouge	Jul et Mad	2016	NA	7.2	83	Floral, Sweet, Fruity, Creamy, Spicy	Mandarin orange, Orange zest, Clove, Davana, Moroccan neroli	Orange blossom, Almond, Beeswax, Damask rose	Amber, Benzoin, Indonesian patchouli, Musk, Timbersilk™, Tonka bean, Vanilla	Luca Maffei
Secrets of Love - Délice	M. Micallef	2016	NA	7.6	87	Spicy, Oriental, Sweet, Woody, Fruity	Nutmeg, Orange, Pink pepper	Plum, Cinnamon, Rose	Oud, Vanilla	Jean-Claude Astier
Secrets of Love - Glamour	M. Micallef	2016	NA	7.4	97	Sweet, Floral, Fruity, Spicy, Woody	Peach, Saffron	Jasmine, Rose	Sandalwood, Vanilla	Jean-Claude Astier
Secrets of Love - Gourmet	M. Micallef	2017	NA	6.3	64	Smoky, Leathery, Sweet, Spicy, Woody	Frankincense, Raspberry	Leather, Chestnut, Violet	Labdanum, Oud, Vanilla	Jean-Claude Astier
Secrets of Love - Passion	M. Micallef	2016	NA	7.2	63	Sweet, Spicy, Gourmand, Oriental, Woody	Oud, Orange, Cinnamon	Caramel, Cashmere	Benzoin, Musk, Patchouli, Sandalwood	Jean-Claude Astier
Secrets of Love - Sensual	M. Micallef	2016	NA	7.1	75	Woody, Sweet, Floral, Creamy, Spicy	Lemon, Grapefruit	Jasmine, Orange blossom	Sandalwood, Vanilla, Oud	Jean-Claude Astier
Secrets of Love - Spiritual	M. Micallef	2018	NA	7.1	64	Sweet, Woody, Floral, Spicy, Fruity	Bergamot, Pink pepper	Jasmine, Cedar	Vanilla, Ambergris, Benzoin	Geoffrey Nejman
Sedbury	Parfums de Marly	2015	NA	7.1	104	Floral, Sweet, Creamy, Fruity, Powdery	Lavender, Clary sage, Mandarin orange, Bergamot	Tuberose, Jasmine, Iris	Benzoin, Patchouli, Vanilla, Ambergris, Sandalwood, Vetiver	NA
Seducteur	M. Micallef	2009	NA	7.2	52	Spicy, Fougère, Green, Woody, Fresh	Bergamot, Mint, Mugwort, Rosemary	Thyme, Patchouli, Cinnamon, Nutmeg	Oakmoss, Leather, Pine tree cone	Geoffrey Nejman, Jean-Claude Astier
Seduction Collection - Iris Crush	Jimmy Choo	2020	NA	7.9	155	Sweet, Powdery, Floral, Creamy, Spicy	Freesia, Neroli, Pink pepper	Lipstick, Iris, Heliotrope	Musk, Tonka bean, Patchouli	Anne Flipo, Caroline Dumur, IFF (International Flavors & Fragrances)
Seduction Collection - Vanilla Love	Jimmy Choo	2020	NA	8.2	90	Sweet, Gourmand, Spicy, Creamy, Fruity	Apple, Myrrh, Black pepper	Vanilla, Patchouli, Tonka bean	Amber, Saffron, Toffee	Michel Almairac, Robertet
Seductive Blue	Guess	2023	NA	8	51	Fresh, Floral, Fruity, Aquatic, Sweet	Italian bergamot, Pear	Blue freesia, Cyclamen, Peony, Rose water	Plum, Indonesian patchouli, Amber, Musk	Christian Alori
Seductive	Boadicea the Victorious	2010	NA	6.9	143	Woody, Resinous, Spicy, Green, Fresh	Menthol, Iris	Fir, Rosemary	Musk, Sandalwood, Amber	NA
Seductive Guess 2010 Eau de Toilette	Guess	2010	Eau de Toilette	6.8	137	Floral, Fruity, Sweet, Fresh, Synthetic	Blackcurrant, Pear, Bergamot	Jasmine, Orange blossom, Iris	Cashmere wood, Vanilla, Frankincense	Véronique Nyberg
Seductive Homme	Guess	2011	NA	6.9	127	Sweet, Spicy, Woody, Fruity, Floral	Cardamom, Pink pepper, Mandarin orange	Vanilla orchid, Violet leaf, Vetiver	Sandalwood, Amberwood, Musk, Patchouli	Frank Voelkl, Ilias Ermenidis, Firmenich
Seductive Homme Noir	Guess	2019	NA	7.6	66	Sweet, Spicy, Synthetic, Woody, Fruity	Black pepper, Grapefruit, Nutmeg	Orange blossom, Lavender, Apple	Sandalwood, Tonka bean, Liquidambar	Jérôme Epinette
Seductive Noir Guess 2019 Eau de Toilette	Guess	2019	Eau de Toilette	8.2	274	Sweet, Floral, Oriental, Spicy, Creamy	Peony, Bergamot, Sage	Jasmine sambac, Iris pallida, Lily of the valley	Vanilla, Blond suede, Haitian vetiver	Laurent Le Guernec
Seductive Red Guess 2021 Eau de Toilette	Guess	2021	Eau de Toilette	7.5	164	Sweet, Fruity, Gourmand, Floral, Synthetic	Cherry, Almond, Pink pepper	Cherry blossom, Magnolia, Violet	Tonka bean, Vanilla, Sandalwood	Jérôme Epinette
Seductive Rose Birkholz Eau de Parfum	Birkholz	NA	Eau de Parfum	7	76	Floral, Fruity, Sweet, Woody, Fresh	Blackcurrant, Mandarin orange, Peach	Freesia, Rose, Orange blossom	Vanilla, Musk, Patchouli	NA
SeeByChloé	Chloé	2012	NA	6.3	199	Floral, Fruity, Fresh, Sweet, Powdery	Apple blossom, Bergamot	Jasmine, Ylang-ylang	Musk, Sandalwood, Vanilla	Michel Almairac
SeeByChloé Eau Fraîche	Chloé	2014	NA	7.1	75	Floral, Fresh, Sweet, Fruity, Synthetic	Apple blossom	Jasmine, Water hyacinth	Vetiver	Michel Almairac
Segreto d'Amore	Borsari 1870	1998	NA	7.5	82	Floral, Fresh, Citrus, Powdery, Green	Mandarin orange, Lemon, Grapefruit, Zarquon	Neroli, Orange blossom, Iris pallida, Violet leaf	Musk, Vanilla	NA
Sel d'Argent	bdk Parfums	2020	NA	6.8	210	Aquatic, Fresh, Floral, Citrus, Synthetic	Salt, Italian bergamot, Grapefruit	Tunisian orange blossom absolute, Madagascan ylang-ylang, Persian galbanum	Ambroxan, Cashmeran, White musk, Timbersilk™	Anne-Sophie Behaghel
Sel d'Azur Yves Rocher 2019 Eau de Parfum	Yves Rocher	2019	Eau de Parfum	7.3	126	Citrus, Fresh, Aquatic, Woody, Green	NA	NA	NA	Marie Salamagne
Sel de Vétiver	The Different Company	2006	NA	7.5	317	Fresh, Green, Spicy, Woody, Earthy	Grapefruit, Cardamom	Haitian vetiver, Lovage, Geranium	Sea salt, Iris, Ylang-ylang	Céline Ellena
Sel Marin	Heeley	2008	NA	7.7	491	Aquatic, Fresh, Citrus, Green, Spicy	Lemon, Italian bergamot	Algae, Iodine	Birch, Cedar, Vetiver	James Heeley
Select	Mercedes-Benz	2018	NA	7.5	121	Fresh, Fruity, Citrus, Synthetic, Woody	Blackcurrant, Bergamot	Apple, Peppermint	Ambrox, Patchouli, Musk	Olivier Cresp
Select Night	Mercedes-Benz	2019	NA	8	141	Sweet, Spicy, Woody, Oriental, Synthetic	Bergamot, Cardamom, Lavender	Cedarwood, Gaiac wood, Orange blossom	Vanilla, Patchouli, Sandalwood	Olivier Cresp
Selection Men s.Oliver 2007 Eau de Toilette	s.Oliver	2007	Eau de Toilette	5.6	73	Spicy, Sweet, Woody, Floral, Fresh	Mandarin orange, Basil, Sage	Clover blossom, Nutmeg, Rose	Gaiac wood, Moss, Patchouli, Vetiver	NA
Selection Women s.Oliver 2008 Eau de Toilette	s.Oliver	2008	Eau de Toilette	7.3	231	Floral, Powdery, Fresh, Creamy, Sweet	Bergamot, Lime, Nectarine, Roasted apple	Honeysuckle, White peony, Jasmine	Musk, Cedar, Amber	NA
Seminalis	Orto Parisi	2016	NA	7.2	248	Sweet, Creamy, Woody, Spicy, Animal	NA	NA	NA	Alessandro Gualtieri
Sending Love	Zarkoperfume	2024	NA	7.1	73	Citrus, Fruity, Sweet, Synthetic, Fresh	Dragon fruit, Lime, Mandarin orange, Sweet lime	Peach, Cedar, Toffee, White chocolate	Vanilla, Amber, Musk, Dark woods	Zarko Ahlmann Pavlov
Sens & Bois Un Parfum des Sens & Bois	The Different Company	2006	NA	7.2	181	Woody, Spicy, Smoky, Fresh, Floral	Ginger, Bergamot, Black pepper	White violet, Frankincense, Vervain	Chinese toon, Elemi resin, Patchouli, Sandalwood	Céline Ellena
Sensations Jil Sander 2000 Eau de Toilette	Jil Sander	2000	Eau de Toilette	7.5	349	Powdery, Floral, Sweet, Woody, Fresh	NA	Grain, Milk	Musk, Amber, Woods	Nathalie Lorson, Alain Astori
Sensi	Giorgio Armani	2002	NA	8.3	214	Floral, Powdery, Sweet, Woody, Oriental	Lime, Common elder	Almond, Wheat, Jasmine	Benzoin, Rosewood	Alberto Morillas, Harry Frémont
Sensi White Notes	Giorgio Armani	2004	NA	8	64	Floral, Fresh, Powdery, Woody, Sweet	Cassia, Lime, Blackcurrant, Lemon, Mandarin orange	Jasmine, Water hyacinth, Freesia, Lily of the valley, Rose, Lily	Mahogany, Benzoin, Rosewood	Alberto Morillas
Sensual & Decadent	LM Parfums	2015	NA	8	53	Sweet, Gourmand, Oriental, Fruity, Resinous	Ylang-ylang, Rhubarb	Labdanum, Heliotrope	Benzoin, Vanilla, Oud	NA
Sensual Amber Bath & Body Works Eau de Toilette	Bath & Body Works	NA	Eau de Toilette	7.1	52	Sweet, Oriental, Gourmand, Fruity, Powdery	Forest fruits, Plum, Bergamot	Iris, Orange blossom, Rose, Lotus	Amber, Vanilla, Musk, Praliné, Patchouli, Sandalwood	NA
Sensual Jil	Jil Sander	2010	NA	7.3	169	Floral, Fruity, Powdery, Oriental, Sweet	Blackberry, Lavender, Pink pepper	Heliotrope, Lily, Orange blossom	Patchouli, Amber, Vanilla	Olivier Polge
Sensual Orchid LM Parfums 2012 Extrait de Parfum	LM Parfums	2012	Extrait de Parfum	8.1	166	Floral, Sweet, Fruity, Oriental, Powdery	Almond, Mandarin orange, Neroli	Orchid, Heliotrope, Jasmine sambac, Ylang-ylang, Peony	Labdanum, Vanilla, Benzoin, Blond woods, Musk, White cedar	Jérôme Epinette
Sensuous Estēe Lauder 2008 Eau de Parfum	Estēe Lauder	2008	Eau de Parfum	7.2	263	Woody, Sweet, Floral, Powdery, Spicy	Jasmine, Lily, Magnolia, Ylang-ylang	Amber	Honey, Sandalwood, Black pepper, Mandarin orange nectar	Annie Buzantian
Sensuous Noir	Estēe Lauder	2010	NA	7.5	268	Woody, Spicy, Oriental, Sweet, Floral	Rose, Black pepper, Queen-of-the-night	Patchouli, Crème noir, Lily	Benzoin, Honey, Amber, Vanilla	NA
Sensuous Nude	Estēe Lauder	2011	NA	7.1	188	Sweet, Powdery, Floral, Woody, Gourmand	Mandarin orange, Black pepper, Pink pepper, Sicilian bergamot	Coconut water, Honey, Jasmine, Lily of the valley, Musk	Vanilla, Heliotrope, Sandalwood, Amber, Musk, Woods	NA
Sensuous Stars	Estēe Lauder	2021	NA	7.4	78	Floral, Powdery, Fruity, Sweet, Spicy	NA	NA	NA	Amandine Clerc-Marie
Sentiment	Escada	2000	NA	7.4	52	Floral, Fruity, Sweet, Fresh, Powdery	Currant, Magnolia, Blackcurrant, Iris, Mandarin orange	Orris root, Hyacinth, Tuberose, White peach	Amber, Heliotrope, Rosewood, Sandalwood, Vanilla	Nathalie Gracia-Cetto
Sentosa - The Night Escape Sentosa	Simone Andreoli	2011	NA	7.6	57	Sweet, Resinous, Woody, Spicy, Oriental	NA	NA	NA	Simone Andreoli
Serge noire	Serge Lutens	2008	NA	7.5	351	Spicy, Woody, Smoky, Resinous, Oriental	NA	NA	NA	Christopher Sheldrake, Serge Lutens
Series 1: Leaves - Calamus	Comme des Garçons	2000	NA	7.2	59	Green, Spicy, Woody, Earthy, Powdery	NA	NA	NA	Bertrand Duchaufour
Series 2: Red - Carnation	Comme des Garçons	2001	NA	7.4	71	Spicy, Floral, Sweet, Powdery, Oriental	NA	NA	NA	Evelyne Boulanger
Series 2: Red - Palisander	Comme des Garçons	2001	NA	7.4	74	Woody, Spicy, Resinous, Powdery, Sweet	NA	NA	NA	Yann Vasnier, Françoise Caron
Series 2: Red - Sequoia	Comme des Garçons	2001	NA	7.6	88	Woody, Spicy, Fruity, Sweet, Resinous	NA	NA	NA	Bertrand Duchaufour
Series 3: Incense - Avignon	Comme des Garçons	2002	NA	8	443	Smoky, Resinous, Woody, Spicy, Earthy	NA	NA	NA	Bertrand Duchaufour
Series 3: Incense - Jaisalmer	Comme des Garçons	2002	NA	7.5	155	Spicy, Woody, Resinous, Smoky, Oriental	NA	NA	NA	Evelyne Boulanger
Series 3: Incense - Kyoto	Comme des Garçons	2002	NA	8.1	504	Woody, Smoky, Spicy, Resinous, Green	NA	NA	NA	Bertrand Duchaufour
Series 3: Incense - Ouarzazate	Comme des Garçons	2002	NA	7.4	134	Spicy, Woody, Smoky, Resinous, Green	NA	NA	NA	Mark Buxton
Series 3: Incense - Zagorsk	Comme des Garçons	2002	NA	7.6	204	Woody, Spicy, Smoky, Green, Resinous	NA	NA	NA	Evelyne Boulanger
Series 4: Cologne - Anbar	Comme des Garçons	2002	NA	6.8	53	Citrus, Fresh, Spicy, Green, Woody	NA	NA	NA	Mark Buxton
