Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Luce	Meo Fusciuni	2013	NA	7.7	75	Woody, Spicy, Resinous, Smoky, Earthy	Cedar leaf, Birch, Leather	Patchouli, Sandalwood, Tobacco	Vanilla, Ambergris, Benzoin	Giuseppe Imprezzabile a.k.a. Meo Fusciuni
Lucky Candy	Montale	2023	NA	6.5	115	Sweet, Floral, Synthetic, Creamy, Powdery	NA	NA	NA	NA
Lucky	Dior	2017	NA	7.5	118	Floral, Fresh, Green, Synthetic, Creamy	NA	NA	NA	François Demachy
Lucky Me for Him	Avon	NA	NA	7.5	140	Creamy, Floral, Sweet, Synthetic, Fresh	Coconut, Orange blossom, Hyacinth, Odor	Gardenia, Jasmine, Daphne	Sandalwood, Vanilla, Heliotrope, Onion	NA
Lucrethia	V Canto	2016	NA	7.4	72	Sweet, Floral, Gourmand, Fruity, Creamy	Linden blossom, Pear, Pink pepper, Laurel, Petitgrain	Jasmine, Amber, Cocoa, Coffee, Clove	Honeysuckle, Vanilla, Benzoin, Cedarwood, Patchouli	Paolo Terenzi
Lumière Blanche	Olfactive Studio	2012	NA	7.3	405	Spicy, Powdery, Woody, Sweet, Fresh	Cardamom, Star anise, Cinnamon	Almond milk, Iris, Cashmeran	Sandalwood, Tonka bean, White musk, Cedarwood	Sidonie Lancesseur, Robertet
Lumière d'Épices	By Terry	2012	NA	6.9	108	Floral, Spicy, Woody, Sweet, Citrus	Blood orange zest, Bergamot, Grapefruit	Orange blossom absolute, Indian jasmine sambac, Spices, Dry woods, Rose	Clove, Cedarwood, Nutmeg	Jacques Flori, Karine Vinchon-Spehner, Sidonie Lancesseur
Lumière Dorée	Miller Harris	2016	NA	7.3	79	Citrus, Fresh, Floral, Spicy, Woody	Bitter orange, Italian bergamot, Petitgrain	Moroccan neroli, Jasmine sambac absolute, Orange blossom	White musk, Cashmere wood, Amber, Vetiver	Mathieu Nardin, Robertet
Lumière Noire Femme Maison Francis Kurkdjian 2009 Eau de Parfum	Maison Francis Kurkdjian	2009	Eau de Parfum	7.6	168	Floral, Spicy, Oriental, Woody, Sweet	NA	NA	NA	Francis Kurkdjian
Lumière Rochas 1984 Eau de Parfum	Rochas	1984	Eau de Parfum	7.5	51	Floral, Chypre, Spicy, Green, Smoky	Honeysuckle	Jasmine, Gardenia	Ambergris	NA
Luminous Orchid	Alexander McQueen	2009	NA	8	88	Spicy, Powdery, Floral, Woody, Sweet	NA	NA	NA	Daniela Andrier
Luna	Kemi / Al Kimiya	2014	NA	7.7	153	Fruity, Spicy, Sweet, Woody, Floral	Herbaceous notes, Blackcurrant, Spicy notes, Apple, Frankincense, Mango, Apricot, Lemon, Mandarin orange	Cedarwood, Russian leather, Iris, Jasmine, Rose	Amber, Bourbon vanilla, Musk	NA
L'Una	Kinetic Perfumes	2022	NA	7.6	65	Spicy, Sweet, Floral, Oriental, Fruity	Bergamot, Saffron, Lemon, Orange	Rose, Lychee, Violet, Leather, Lily of the valley, Nutmeg, Plum	Amber, Cedar, Musk, Sandalwood, Vanilla, Vetiver	Christian Carbonnel a.k.a. Chris Maurice
Luna Penhaligon's 2016 Eau de Toilette	Penhaligon's	2016	Eau de Toilette	8	390	Floral, Fresh, Citrus, Green, Spicy	Primofiore lemon, Bitter orange, Bergamot	Rose, Juniper berry, Jasmine	Fir balsam, Musk, Ambergris	Aliénor Massenet
