freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EMP,EL62	3.4 u	2.0 u	2.2 u	1.9 u	: u	2.0 u	2.0 u	: bu
A,PC_EMP,EL63	1.9 	1.9 	2.3 	2.0 	2.2 	1.5 u	1.7 	1.9 b
A,PC_EMP,EL64	2.0 u	2.3 	1.7 u	1.5 u	1.6 u	1.2 u	1.5 u	1.8 bu
A,PC_EMP,EL65	1.9 	1.9 	1.8 	1.7 	2.4 	2.7 	2.3 	2.6 b
A,PC_EMP,ES	3.5 	3.5 	3.6 	3.7 	3.6 	3.7 	3.5 	3.7 bd
A,PC_EMP,ES1	3.1 	3.1 	3.2 	3.3 	3.3 	3.0 	3.0 	2.9 bd
A,PC_EMP,ES2	3.2 	3.5 	3.6 	3.2 	3.1 	3.3 	3.2 	3.8 bd
A,PC_EMP,ES3	5.1 	5.4 	5.4 	5.4 	5.3 	5.2 	5.0 	5.1 bd
A,PC_EMP,ES4	2.4 	2.4 	2.6 	2.5 	2.5 	2.4 	2.3 	2.3 bd
A,PC_EMP,ES5	3.7 	3.7 	3.7 	4.1 	3.9 	4.0 	4.1 	4.5 bd
A,PC_EMP,ES6	2.7 	2.7 	2.8 	3.0 	3.1 	3.1 	2.7 	2.6 bd
A,PC_EMP,ES7	2.3 	2.9 	2.6 	2.8 	2.7 	3.5 	2.5 	2.9 bd
A,PC_EMP,EU27_2020	3.6 	3.6 	3.6 	3.7 	3.7 	3.7 	3.6 	3.7 b
A,PC_EMP,FI	4.8 	5.1 	4.8 	4.7 	4.9 	5.1 	5.1 	4.6 b
A,PC_EMP,FI1	4.9 	5.1 	4.8 	4.7 	5.0 	5.1 	5.1 	4.6 b
A,PC_EMP,FI19	4.0 	4.2 	4.2 	4.2 	4.3 	4.3 	4.4 	4.2 b
A,PC_EMP,FI1B	7.6 	7.5 	6.8 	6.3 	6.9 	7.3 	7.0 	6.5 b
A,PC_EMP,FI1C	3.7 	4.4 	3.9 	3.9 	4.1 	4.6 	4.3 	3.4 b
A,PC_EMP,FI1D	2.8 	3.0 	3.3 	3.5 	3.6 	3.4 	3.5 	3.3 b
A,PC_EMP,FI2	: u	: u	: u	: u	: u	: u	: u	: bu
A,PC_EMP,FI20	: u	: u	: u	: u	: u	: u	: u	: bu
A,PC_EMP,FR	3.4 	3.2 	3.4 	3.5 	3.5 	3.5 	3.6 	3.9 bd
A,PC_EMP,FR1	6.1 	5.7 	5.8 	6.4 	6.9 	6.5 	6.7 	7.0 bd
A,PC_EMP,FR10	6.1 	5.7 	5.8 	6.4 	6.9 	6.5 	6.7 	7.0 bd
A,PC_EMP,FRB	2.6 	3.0 	2.7 	1.8 	2.3 	2.4 	3.0 	2.3 bd
A,PC_EMP,FRB0	2.6 	3.0 	2.7 	1.8 	2.3 	2.4 	3.0 	2.3 bd
A,PC_EMP,FRC	2.5 	2.2 	2.1 	2.5 	2.3 	2.9 	3.0 	2.6 bd
A,PC_EMP,FRC1	2.7 	2.6 	2.0 	2.7 	2.0 	2.7 	2.9 	2.6 bd
A,PC_EMP,FRC2	2.2 	1.7 u	2.2 	2.4 	2.8 	3.2 	3.1 	2.7 bd
A,PC_EMP,FRD	2.1 	1.9 	1.9 	2.3 	2.3 	2.4 	2.5 	2.8 bd
A,PC_EMP,FRD1	2.6 	2.6 	2.1 	2.4 	2.2 	3.0 	2.5 	3.0 bd
A,PC_EMP,FRD2	1.8 	1.3 u	1.7 	2.2 	2.3 	1.9 	2.5 	2.6 bd
A,PC_EMP,FRE	1.9 	2.4 	2.1 	2.0 	1.9 	2.2 	1.9 	2.2 bd
A,PC_EMP,FRE1	2.1 	2.4 	2.2 	2.0 	1.7 	2.1 	1.9 	1.8 bd
A,PC_EMP,FRE2	1.4 	2.2 	2.0 	2.1 	2.2 	2.5 	1.9 	3.2 bd
A,PC_EMP,FRF	3.2 	2.4 	2.8 	2.3 	2.4 	2.7 	2.1 	2.5 bd
A,PC_EMP,FRF1	3.9 	2.8 	3.1 	3.2 	3.0 	2.7 	2.2 	3.4 bd
A,PC_EMP,FRF2	2.2 	2.0 u	2.1 	1.8 u	1.8 u	1.9 u	2.3 	2.0 bd
A,PC_EMP,FRF3	3.0 	2.4 	2.8 	1.8 	2.1 	3.2 	1.9 	1.9 bd
A,PC_EMP,FRG	2.3 	2.4 	2.9 	3.4 	2.9 	2.7 	2.6 	3.1 bd
A,PC_EMP,FRG0	2.3 	2.4 	2.9 	3.4 	2.9 	2.7 	2.6 	3.1 bd
A,PC_EMP,FRH	3.2 	2.0 	2.2 	2.7 	2.9 	3.0 	3.3 	2.6 bd
A,PC_EMP,FRH0	3.2 	2.0 	2.2 	2.7 	2.9 	3.0 	3.3 	2.6 bd
A,PC_EMP,FRI	2.7 	2.7 	2.8 	2.8 	2.8 	3.2 	3.6 	3.9 bd
A,PC_EMP,FRI1	2.7 	2.6 	2.9 	3.3 	3.3 	3.7 	4.0 	4.3 bd
A,PC_EMP,FRI2	2.8 u	2.9 u	1.7 u	2.3 u	2.6 u	2.4 u	2.6 u	3.8 bd
A,PC_EMP,FRI3	2.6 	2.9 	3.1 	2.0 	1.9 	2.8 	3.3 	3.3 bd
A,PC_EMP,FRJ	2.7 	2.9 	2.9 	3.1 	3.2 	3.1 	3.1 	3.5 bd
A,PC_EMP,FRJ1	2.8 	2.6 	2.7 	3.2 	2.7 	3.1 	3.7 	4.3 bd
A,PC_EMP,FRJ2	2.6 	3.1 	3.1 	3.1 	3.6 	3.1 	2.6 	2.9 bd
A,PC_EMP,FRK	3.2 	3.0 	3.3 	3.1 	3.0 	2.9 	2.8 	3.8 bd
A,PC_EMP,FRK1	2.4 	3.3 	4.8 	2.8 	2.1 	2.7 	3.0 	2.7 bd
A,PC_EMP,FRK2	3.4 	3.0 	3.0 	3.1 	3.2 	2.9 	2.7 	4.0 bd
A,PC_EMP,FRL	2.7 	3.1 	3.5 	3.8 	3.0 	3.2 	3.5 	3.9 bd
A,PC_EMP,FRL0	2.7 	3.1 	3.5 	3.8 	3.0 	3.2 	3.5 	3.9 bd
A,PC_EMP,FRM	4.4 u	3.4 u	1.6 u	2.0 u	: u	: u	: u	4.5 bu
A,PC_EMP,FRY	2.4 	2.3 	2.4 	2.6 	2.4 	2.3 	2.3 	2.6 bd
A,PC_EMP,HR	3.8 	3.4 	3.1 	3.5 	3.3 	3.6 	3.9 	3.3 b
A,PC_EMP,HR0	3.8 	3.4 	3.1 	3.5 	3.3 	3.6 	3.9 	3.3 b
A,PC_EMP,HR02	: 	: 	1.4 u	1.2 u	1.6 u	2.1 u	3.0 	2.1 bu
A,PC_EMP,HR03	2.7 	2.8 	2.8 	3.5 	2.7 	3.2 	3.8 	3.3 b
A,PC_EMP,HR04	4.3 	3.7 	: 	: 	: 	: 	: 	: 
A,PC_EMP,HR05	: 	: 	6.6 	7.2 	6.5 	7.2 	6.3 	5.6 b
A,PC_EMP,HR06	: 	: 	2.1 u	2.6 u	2.5 u	2.3 u	2.5 u	2.5 bu
A,PC_EMP,HU	3.7 	3.7 	3.6 	3.3 	3.4 	3.6 	3.9 	3.6 b
A,PC_EMP,HU1	5.9 	6.4 	6.2 	5.6 	6.1 	6.5 	6.7 	6.0 b
A,PC_EMP,HU11	7.0 	8.5 	8.0 	7.3 	7.8 	8.2 	8.6 	7.8 b
A,PC_EMP,HU12	4.3 	3.2 	3.5 	3.1 	3.6 	4.1 	4.0 	3.6 b
A,PC_EMP,HU2	2.7 	2.5 	2.4 	2.2 	2.2 	2.3 	2.6 	2.5 b
A,PC_EMP,HU21	2.6 	2.2 	2.1 	2.1 	2.5 	2.3 	2.6 	2.4 b
A,PC_EMP,HU22	2.5 	2.0 	2.4 	2.5 	2.0 	2.3 	2.9 	2.8 b
A,PC_EMP,HU23	3.1 	3.5 	2.6 	1.9 	2.0 	2.6 	2.1 	2.1 b
